timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699722934487,73,Shops-0,308,Permanent Redirect,Thread Group 1-21,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722934560,6475,Shops-1,200,OK,Thread Group 1-21,text,true,,199703,119,30,30,https://evaly.com.bd/shops,1346,0,0
1699722935281,5870,Shops,200,OK,Thread Group 1-28,text,true,,200047,239,30,30,https://evaly.com.bd/shops,372,0,0
1699722935281,372,Shops-0,308,Permanent Redirect,Thread Group 1-28,text,true,,344,120,30,30,http://evaly.com.bd/shops/,372,0,0
1699722935654,5497,Shops-1,200,OK,Thread Group 1-28,text,true,,199703,119,30,30,https://evaly.com.bd/shops,681,0,0
1699722934890,6347,Shops,200,OK,Thread Group 1-20,text,true,,200047,239,30,30,https://evaly.com.bd/shops,74,0,0
1699722934890,74,Shops-0,308,Permanent Redirect,Thread Group 1-20,text,true,,344,120,30,30,http://evaly.com.bd/shops/,74,0,0
1699722934964,6273,Shops-1,200,OK,Thread Group 1-20,text,true,,199703,119,30,30,https://evaly.com.bd/shops,867,0,0
1699722933653,7693,Shops,200,OK,Thread Group 1-8,text,true,,200047,239,30,30,https://evaly.com.bd/shops,74,0,0
1699722933653,74,Shops-0,308,Permanent Redirect,Thread Group 1-8,text,true,,344,120,30,30,http://evaly.com.bd/shops/,74,0,0
1699722933727,7619,Shops-1,200,OK,Thread Group 1-8,text,true,,199703,119,30,30,https://evaly.com.bd/shops,1403,0,0
1699722933442,8291,Shops,200,OK,Thread Group 1-7,text,true,,200047,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722933442,73,Shops-0,308,Permanent Redirect,Thread Group 1-7,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722933516,8217,Shops-1,200,OK,Thread Group 1-7,text,true,,199703,119,30,30,https://evaly.com.bd/shops,1110,0,0
1699722935935,5990,Shops,200,OK,Thread Group 1-13,text,true,,200047,239,30,30,https://evaly.com.bd/shops,88,0,0
1699722935935,88,Shops-0,308,Permanent Redirect,Thread Group 1-13,text,true,,344,120,30,30,http://evaly.com.bd/shops/,88,0,0
1699722936024,5901,Shops-1,200,OK,Thread Group 1-13,text,true,,199703,119,30,30,https://evaly.com.bd/shops,819,0,0
1699722935692,7024,Shops,200,OK,Thread Group 1-25,text,true,,200051,239,30,30,https://evaly.com.bd/shops,396,0,0
1699722935692,396,Shops-0,308,Permanent Redirect,Thread Group 1-25,text,true,,344,120,30,30,http://evaly.com.bd/shops/,396,0,0
1699722936088,6628,Shops-1,200,OK,Thread Group 1-25,text,true,,199707,119,30,30,https://evaly.com.bd/shops,619,0,0
1699722935300,7722,Shops,200,OK,Thread Group 1-12,text,true,,200045,239,30,30,https://evaly.com.bd/shops,78,0,0
1699722935300,78,Shops-0,308,Permanent Redirect,Thread Group 1-12,text,true,,344,120,30,30,http://evaly.com.bd/shops/,78,0,0
1699722935378,7644,Shops-1,200,OK,Thread Group 1-12,text,true,,199701,119,30,30,https://evaly.com.bd/shops,168,0,0
1699722935787,7776,Shops,200,OK,Thread Group 1-26,text,true,,200045,239,30,30,https://evaly.com.bd/shops,77,0,0
1699722935787,77,Shops-0,308,Permanent Redirect,Thread Group 1-26,text,true,,344,120,30,30,http://evaly.com.bd/shops/,77,0,0
1699722935864,7699,Shops-1,200,OK,Thread Group 1-26,text,true,,199701,119,30,30,https://evaly.com.bd/shops,971,0,0
1699722935598,10956,Shops,200,OK,Thread Group 1-23,text,true,,200051,239,30,30,https://evaly.com.bd/shops,74,0,0
1699722935598,74,Shops-0,308,Permanent Redirect,Thread Group 1-23,text,true,,344,120,30,30,http://evaly.com.bd/shops/,74,0,0
1699722935672,10882,Shops-1,200,OK,Thread Group 1-23,text,true,,199707,119,30,30,https://evaly.com.bd/shops,1082,0,0
1699722936498,12490,Categories,200,OK,Thread Group 1-16,text,true,,660361,249,30,30,https://evaly.com.bd/categories,75,0,0
1699722936498,75,Categories-0,308,Permanent Redirect,Thread Group 1-16,text,true,,349,125,30,30,http://evaly.com.bd/categories/,75,0,0
1699722936573,12415,Categories-1,200,OK,Thread Group 1-16,text,true,,660012,124,30,30,https://evaly.com.bd/categories,103,0,0
1699722940653,8611,Categories,200,OK,Thread Group 1-24,text,true,,660355,249,30,30,https://evaly.com.bd/categories,89,0,0
1699722940653,89,Categories-0,308,Permanent Redirect,Thread Group 1-24,text,true,,349,125,30,30,http://evaly.com.bd/categories/,89,0,0
1699722940742,8522,Categories-1,200,OK,Thread Group 1-24,text,true,,660006,124,30,30,https://evaly.com.bd/categories,169,0,0
1699722938659,11042,Categories,200,OK,Thread Group 1-2,text,true,,660362,249,30,30,https://evaly.com.bd/categories,83,0,0
1699722938659,83,Categories-0,308,Permanent Redirect,Thread Group 1-2,text,true,,349,125,30,30,http://evaly.com.bd/categories/,83,0,0
1699722938742,10959,Categories-1,200,OK,Thread Group 1-2,text,true,,660013,124,30,30,https://evaly.com.bd/categories,92,0,0
1699722938835,10920,Categories,200,OK,Thread Group 1-10,text,true,,660355,249,30,30,https://evaly.com.bd/categories,402,0,0
1699722938835,403,Categories-0,308,Permanent Redirect,Thread Group 1-10,text,true,,349,125,30,30,http://evaly.com.bd/categories/,402,0,0
